projectName,original_numberOfNodes,original_numberOfEdges,original_numberOfPackages,original_avgClassesPerPackage,original_singlePackageCommitRatio,original_avgPackageCommit,mq_distance_mean,mq_normalized_distance_mean,mq_numberOfEdges_mean,mq_numberOfPackages_mean,mq_avgClassesPerPackage_mean,mq_singlePackageCommitRatio_mean,mq_avgPackageCommit_mean,mq_iterations,hmd_distance,hmd_normalized_distance,hmd_numberOfEdges,hmd_numberOfPackages,hmd_avgClassesPerPackage,hmd_singlePackageCommitRatio,hmd_avgPackageCommit,crg_distance_25,crg_distance_50,crg_distance_75,crg_normalized_distance_25,crg_normalized_distance_50,crg_normalized_distance_75,crg_numberOfEdges_25,crg_numberOfEdges_50,crg_numberOfEdges_75,crg_numberOfPackages_25,crg_numberOfPackages_50,crg_numberOfPackages_75,crg_avgClassesPerPackage_25,crg_avgClassesPerPackage_50,crg_avgClassesPerPackage_75,crg_singlePackageCommitRatio_25,crg_singlePackageCommitRatio_50,crg_singlePackageCommitRatio_75,crg_avgPackageCommit_25,crg_avgPackageCommit_50,crg_avgPackageCommit_75
javacc-7.0.14,190,840,6,31.6667,0.844444,1.22963,276.8,0.5863331943601959,583.9,82.93333333333334,2.324463333333333,0.6006585,3.4000822333333334,30,210,0.5147058823529411,670,16,11.875,0.748148,1.612346,201,199,208,0.5101522842639594,0.5050761421319797,0.5187032418952618,5505,6228,3027,3,4,10,63.3333,47.5,19,0.681481,0.893827,0.730864,1.382716,1.135802,1.550617
elasticsearch-geo-9.1.0,58,139,3,19.3333,0.727273,1.295455,87.03333333333333,0.5817626068899612,152.93333333333334,26.566666666666666,2.2143033333333335,0.6606061333333333,3.035606066666667,30,73,0.5367647058823529,156,10,5.8,0.681818,1.977273,70,69,62,0.5384615384615384,0.5348837209302325,0.484375,580,477,461,5,5,5,11.6,11.6,11.6,0.954545,0.818182,0.840909,1.045455,1.227273,1.204545
log4j-iostreams-2.21.1,26,20,2,13,0.941176,1.058824,44.733333333333334,0.5997815547689376,33.8,14.566666666666666,1.8009133333333334,0.4732024,4.2287582,30,44,0.6027397260273972,34,11,2.3636,0.470588,4.176471,38,34,36,0.5671641791044776,0.53125,0.5625,103,116,93,4,4,4,6.5,6.5,6.5,0.54902,0.607843,0.509804,1.705882,1.588235,1.803922
lucene-highlighter-11.0.0,166,414,4,41.5,0.873563,1.155172,261.3666666666667,0.6064364859793859,301.2,88.96666666666667,1.8706333333333334,0.6571520333333333,2.3566411333333335,30,211,0.5567282321899736,324,29,5.7241,0.710728,1.802682,175,181,183,0.5072463768115942,0.5186246418338109,0.5184135977337111,4141,3888,2718,3,5,8,55.3333,33.2,20.75,0.733716,0.91954,0.860153,1.298851,1.109195,1.204981
log4j-layout-template-json-2.21.1,150,433,3,50,0.648148,1.5,227.2,0.5920526486670906,374.6,72.5,2.09668,0.4839502,5.171604866666667,30,200,0.5681818181818182,385,31,4.8387,0.5,3.962963,167,167,175,0.5235109717868338,0.5186335403726708,0.5335365853658537,2846,2056,1716,5,8,12,30,18.75,12.5,0.592593,0.62963,0.592593,1.62963,1.777778,2.111111
lucene-analysis-nori-11.0.0,47,92,3,15.6667,0.905138,1.13834,76.53333333333333,0.5975453684888665,95.56666666666666,25.033333333333335,1.8945333333333334,0.7483532666666667,1.9073780333333334,30,69,0.575,110,13,3.6154,0.754941,1.679842,59,62,58,0.5315315315315315,0.5486725663716814,0.5225225225225225,315,279,186,6,7,8,7.8333,6.7143,5.875,0.798419,0.814229,0.774704,1.399209,1.367589,1.490119
elasticsearch-native-9.1.0,66,115,4,16.5,0.5,1.925,102.13333333333334,0.5910607355620603,150.36666666666667,32.733333333333334,2.0387933333333335,0.4658333333333333,4.845833333333333,30,85,0.5483870967741935,148,11,6,0.525,2.8,73,78,82,0.503448275862069,0.5306122448979592,0.5466666666666666,698,552,293,4,5,9,16.5,13.2,7.3333,0.7,0.5,0.5,1.725,1.925,2.375
log4j-api-2.21.1,181,332,7,25.8571,0.845297,1.26052,283,0.6028295527213521,444.4,95.43333333333334,1.9000433333333333,0.7549505666666667,1.8021246,30,238,0.5613207547169812,412,39,4.641,0.803837,1.552599,195,195,203,0.5131578947368421,0.5104712041884817,0.524547803617571,5173,5125,2544,5,5,9,36.2,36.2,20.1111,0.826114,0.881807,0.850248,1.199257,1.151609,1.200495
jgit-http-6.8.0,61,118,3,20.3333,0.834646,1.228346,99,0.6028256254861682,103.1,33.2,1.84547,0.5779525999999999,2.8167981,30,92,0.5859872611464968,96,21,2.9048,0.590551,2.574803,77,80,81,0.5460992907801419,0.5517241379310345,0.5510204081632653,544,374,233,7,12,12,8.7143,5.0833,5.0833,0.76378,0.692913,0.677165,1.425197,1.811024,1.834646
javaGeom-0.11.3,159,421,20,7.95,0.394958,3.256303,246.03333333333333,0.594683895367506,736.5,71.7,2.22414,0.23081216666666665,7.447619066666666,30,206,0.5567567567567567,741,22,7.2273,0.361345,3.277311,181,180,183,0.523121387283237,0.5172413793103449,0.5198863636363636,4250,4132,2038,3,5,6,53,31.8,26.5,0.310924,0.483193,0.336134,1.941176,1.894958,2.02521
